Date,open_sum,close_sum,abs_diff
2020-01-02,8362.641000000003,8454.532000000001,91.8909999999978
2020-01-03,8404.366,8367.75,-36.615999999999985
2020-01-06,8311.514000000005,8314.404,2.88999999999578
2020-01-07,8350.219999999998,8365.140000000001,14.92000000000371
2020-01-08,8319.619,8398.369,78.75
2020-01-09,8462.204000000002,8479.907999999998,17.703999999996086
2020-01-10,8518.823,8463.761000000002,-55.06199999999808
2020-01-13,8504.396000000002,8441.256000000001,-63.14000000000124
2020-01-14,8445.041000000003,8463.619000000002,18.57799999999952
2020-01-15,8468.131999999994,8454.482999999998,-13.648999999995794
2020-01-16,8477.225000000004,8482.492999999999,5.267999999994572
2020-01-17,8524.934000000007,8521.208,-3.7260000000060245
2020-01-20,8536.981,8566.980999999998,29.99999999999818
2020-01-21,8537.787,8542.341,4.554000000000087
2020-01-22,8562.311000000003,8513.570999999996,-48.74000000000706
2020-01-23,8483.744999999999,8439.173500000003,-44.57149999999638
2020-01-24,8506.327,8519.487000000005,13.160000000005311
2020-01-27,8426.107999999998,8321.276500000002,-104.8314999999966
2020-01-28,8360.243999999999,8372.962499999996,12.71849999999722
2020-01-29,8379.934000000001,8396.687000000002,16.75300000000061
2020-01-30,8347.201000000003,8288.175,-59.02600000000348
2020-01-31,8317.437999999998,8213.662,-103.77599999999802
2020-02-03,8221.230499999998,8262.254000000004,41.02350000000661
2020-02-04,8302.338499999998,8382.810500000001,80.47200000000339
2020-02-05,8467.966500000002,8475.3755,7.408999999997832
2020-02-06,8524.834999999997,8518.041000000005,-6.793999999992593
2020-02-07,8503.165499999997,8440.984499999999,-62.180999999998676
2020-02-10,8435.106000000003,8421.812499999998,-13.293500000005224
2020-02-11,8464.073999999999,8534.017000000002,69.94300000000294
2020-02-12,8554.135500000002,8571.566999999997,17.43149999999514
2020-02-13,8538.068,8551.489999999998,13.421999999998661
2020-02-14,8557.543999999994,8542.878499999997,-14.665499999997337
2020-02-17,8567.304000000002,8566.57,-0.7340000000021973
2020-02-18,8501.7605,8500.4575,-1.3029999999998836
2020-02-19,8528.006000000001,8563.119,35.112999999999374
2020-02-20,8557.9315,8500.683,-57.248499999999694
